ticker,sector
LRCX,SemiconductorsAndSemiconductorEquipment
LUV,Transportation
LW,FoodBeverageAndTobacco
LYB,Materials
M,Retailing
MA,DiversifiedFinancialServices
MAA,EquityRealEstateInvestmentTrustsREITs
MAC,EquityRealEstateInvestmentTrustsREITs
MAR,ConsumerServices
MAS,CapitalGoods
MAT,ConsumerDurablesAndApparel
MCD,ConsumerServices
MCHP,SemiconductorsAndSemiconductorEquipment
MCK,HealthCareEquipmentAndServices
MCO,DiversifiedFinancialServices
MDLZ,FoodBeverageAndTobacco
MDT,HealthCareEquipmentAndServices
MEE,Energy
MET,Insurance
MGM,ConsumerServices
MHK,ConsumerDurablesAndApparel
MHS,HealthCareEquipmentAndServices
MI,Banks
MKC,FoodBeverageAndTobacco
MLM,Materials
MMI,RealEstateManagementAndDevelopment
MMM,CapitalGoods
MNST,FoodBeverageAndTobacco
MO,FoodBeverageAndTobacco
MOS,Materials
MPC,Energy
MRK,PharmaceuticalsBiotechnologyAndLifeSciences
MS,DiversifiedFinancialServices
MSCI,DiversifiedFinancialServices
MSFT,SoftwareAndServices
MSI,TechnologyHardwareAndEquipment
MTB,Banks
MTD,PharmaceuticalsBiotechnologyAndLifeSciences
MU,SemiconductorsAndSemiconductorEquipment
MUR,Energy
NAVI,DiversifiedFinancialServices
NBR,Energy
NCLH,ConsumerServices
NDAQ,DiversifiedFinancialServices
NE,Energy
NEE,Utilities
NEM,Materials
NFLX,MediaAndEntertainment
NFX,Energy
NI,Utilities
NKE,ConsumerDurablesAndApparel
NKTR,PharmaceuticalsBiotechnologyAndLifeSciences
NOC,CapitalGoods
NOV,Energy
NRG,Utilities
NSC,Transportation
NTAP,TechnologyHardwareAndEquipment
NTRS,DiversifiedFinancialServices
NUE,Materials
NVDA,SemiconductorsAndSemiconductorEquipment
NWL,ConsumerDurablesAndApparel
NWS,MediaAndEntertainment
NWSA,MediaAndEntertainment
NYT,MediaAndEntertainment
O,EquityRealEstateInvestmentTrustsREITs
OI,Materials
OKE,Energy
OMC,MediaAndEntertainment
ORCL,SoftwareAndServices
ORLY,Retailing
OXY,Energy
PAYX,CommercialAndProfessionalServices
PBG,FoodBeverageAndTobacco
PBI,CommercialAndProfessionalServices
PCAR,CapitalGoods
PCG,Utilities
PCL,EquityRealEstateInvestmentTrustsREITs
PEG,Utilities
PEP,FoodBeverageAndTobacco
PFE,PharmaceuticalsBiotechnologyAndLifeSciences
PFG,Insurance
PG,HouseholdAndPersonalProducts
PGR,Insurance
PH,CapitalGoods
PHM,ConsumerDurablesAndApparel
PKG,Materials
PLD,EquityRealEstateInvestmentTrustsREITs
PM,FoodBeverageAndTobacco
PNC,Banks
PNR,CapitalGoods
PNW,Utilities
POM,Utilities
PPG,Materials
PPL,Utilities
PRGO,PharmaceuticalsBiotechnologyAndLifeSciences
PRU,Insurance
PSA,EquityRealEstateInvestmentTrustsREITs
PSX,Energy
PTV,Materials
PVH,ConsumerDurablesAndApparel
PWR,CapitalGoods
PX,Materials
PYPL,DiversifiedFinancialServices
QCOM,SemiconductorsAndSemiconductorEquipment
QRVO,SemiconductorsAndSemiconductorEquipment
R,Transportation
RCL,ConsumerServices
REG,EquityRealEstateInvestmentTrustsREITs
REGN,PharmaceuticalsBiotechnologyAndLifeSciences
RF,Banks
RHI,CommercialAndProfessionalServices
RIG,Energy
RJF,DiversifiedFinancialServices
RL,ConsumerDurablesAndApparel
RMD,HealthCareEquipmentAndServices
ROK,CapitalGoods
ROL,CommercialAndProfessionalServices
ROP,SoftwareAndServices
ROST,Retailing
RRC,Energy
RSG,CommercialAndProfessionalServices
S,SoftwareAndServices
SBAC,EquityRealEstateInvestmentTrustsREITs
SBUX,ConsumerServices
SCG,Utilities
SCHW,DiversifiedFinancialServices
SE,Retailing
SEE,Materials
SHLD,Retailing
SHW,Materials
SIG,Retailing
SII,DiversifiedFinancialServices
SJM,FoodBeverageAndTobacco
SLB,Energy
SLG,EquityRealEstateInvestmentTrustsREITs
SLM,DiversifiedFinancialServices
SNA,CapitalGoods
SNDK,TechnologyHardwareAndEquipment
SNPS,SoftwareAndServices
SO,Utilities
SPG,EquityRealEstateInvestmentTrustsREITs
SPGI,DiversifiedFinancialServices
SPLS,Retailing
SRE,Utilities
STI,CapitalGoods
STT,DiversifiedFinancialServices
STX,TechnologyHardwareAndEquipment
STZ,FoodBeverageAndTobacco
SUN,Energy
SVU,ConsumerStaplesDistributionAndRetail
SWK,CapitalGoods
SWKS,SemiconductorsAndSemiconductorEquipment
SYF,DiversifiedFinancialServices
SYK,HealthCareEquipmentAndServices
SYY,ConsumerStaplesDistributionAndRetail
T,TelecommunicationServices
TAP,FoodBeverageAndTobacco
TDC,SoftwareAndServices
TDG,CapitalGoods
TE,CapitalGoods
TEG,Utilities
TEL,TechnologyHardwareAndEquipment
TER,SemiconductorsAndSemiconductorEquipment
TGNA,MediaAndEntertainment
TGT,ConsumerStaplesDistributionAndRetail
THC,HealthCareEquipmentAndServices
TIE,Materials
TJX,Retailing
TLAB,TechnologyHardwareAndEquipment
TMO,PharmaceuticalsBiotechnologyAndLifeSciences
TMUS,TelecommunicationServices
TPR,ConsumerDurablesAndApparel
TRIP,MediaAndEntertainment
TROW,DiversifiedFinancialServices
TRV,Insurance
TSCO,Retailing
TSN,FoodBeverageAndTobacco
TTWO,MediaAndEntertainment
TWX,MediaAndEntertainment
TXN,SemiconductorsAndSemiconductorEquipment
TXT,CapitalGoods
UA,ConsumerDurablesAndApparel
UAA,ConsumerDurablesAndApparel
UAL,Transportation
UDR,EquityRealEstateInvestmentTrustsREITs
UHS,HealthCareEquipmentAndServices
ULTA,Retailing
UNH,HealthCareEquipmentAndServices
UNM,Insurance
UNP,Transportation
UPS,Transportation
URBN,Retailing
URI,CapitalGoods
USB,Banks
V,DiversifiedFinancialServices
VFC,ConsumerDurablesAndApparel
VIAV,TechnologyHardwareAndEquipment
VLO,Energy
VMC,Materials
VNO,EquityRealEstateInvestmentTrustsREITs
VRSK,CommercialAndProfessionalServices
VRSN,SoftwareAndServices
VRTX,PharmaceuticalsBiotechnologyAndLifeSciences
VTR,EquityRealEstateInvestmentTrustsREITs
VZ,TelecommunicationServices
WAT,PharmaceuticalsBiotechnologyAndLifeSciences
WDC,TechnologyHardwareAndEquipment
WEC,Utilities
WELL,EquityRealEstateInvestmentTrustsREITs
WFC,Banks
WHR,ConsumerDurablesAndApparel
WM,CommercialAndProfessionalServices
WMB,Energy
WMT,ConsumerStaplesDistributionAndRetail
WU,DiversifiedFinancialServices
WY,EquityRealEstateInvestmentTrustsREITs
WYNN,ConsumerServices
XEL,Utilities
XOM,Energy
XRAY,HealthCareEquipmentAndServices
XRX,TechnologyHardwareAndEquipment
XYL,CapitalGoods
YUM,ConsumerServices
ZBH,HealthCareEquipmentAndServices
ZION,Banks
ZTS,PharmaceuticalsBiotechnologyAndLifeSciences
